house #,street,zipcode,lat,lon,neighborhood
5701,East Martin Luther King Jr Boulevard,78721,30.285527,-97.667511,MLK-183
3103,Sweet Autumn Cove,78735,30.283915,-97.871752,NA
113,Tumbleweed Trail South,78733,30.3248732958872,-97.8726866599486,Austin Lake Hills
1007,Glen Oaks Court,78702,30.268652,-97.7107133238196,Rosewood
7455,Pusch Ridge Loop,78749,30.213984,-97.8453767320872,Sunset
6498,East US 290 Frontage Road,78723,30.321956,-97.689651,Coronado Hills
10200,Giles Lane,78754,30.33887,-97.619359,Harris Branch
2409,Shapard Lane,78617,30.213674,-97.654008,Hornsby Glen
8800,Ramirez Lane,78742,30.245727,-97.653406,NA
6105,Turtle Point Drive,78746,30.275036,-97.84136007,NA
6300,Chambly Cove,78730,30.37918,-97.830807,Long Canyon
3409,Davis Lane,78748,30.193861,-97.84056,Pheasant Run
8304,Sassman Road,78747,30.139539,-97.7187458157895,NA
4901,Winnebago Lane,78744,30.20696,-97.733574,McKinney
7401,Southgate Lane,78744,30.193109,-97.7018420899001,Martinshore
8108,Barton Club Drive,78735,30.291155,-97.8578791542339,NA
3018,Gonzales Street,78702,30.25949,-97.706421,Govalle
9522,Sprinkle Cutoff Road,78754,30.348137,-97.659246,Pioneer Crossing West
8212,Talbot Cove,78746,30.3060645,-97.8587637076037,NA
8910,FM 812,78719,30.162279,-97.688259,NA
300,Edwin Lane,78742,30.249781,-97.658206,NA
2520,Pearce Road,78730,30.331603,-97.827991,NA
1721,Palma Plaza,78703,30.2833235,-97.7626886188859,Enfield
7213,Dee Street,78745,30.193468,-97.79499,Hillside Oaks
